TimeStep,TBD910OGValue,TBD910OGTentativeQuality,TBD910OGTrueQuality,TBD910ProcessedValue,TBD910ProcessedTentativeQuality,TBD910ProcessedTrueQuality,TBD911OGValue,TBD911OGTentativeQuality,TBD911OGTrueQuality,TBD911ProcessedValue,TBD911ProcessedTentativeQuality,TBD911ProcessedTrueQuality,TBD912OGValue,TBD912OGTentativeQuality,TBD912OGTrueQuality,TBD912ProcessedValue,TBD912ProcessedTentativeQuality,TBD912ProcessedTrueQuality
2020-01-01T12:00:00,214.53187561035156,G,False,214.53187561035156,G,True,59.14270782470703,G,False,59.14270782470703,G,True,57.99323272705078,G,False,57.99323272705078,G,True
2020-01-02T12:00:00,214.4833221435547,G,False,214.4833221435547,G,True,59.33644104003906,G,False,59.33644104003906,G,True,58.69927978515625,G,False,58.69927978515625,G,True
2020-01-03T12:00:00,214.47943115234375,G,False,214.47943115234375,G,True,59.65592575073242,G,False,59.65592575073242,G,True,59.910675048828125,G,False,59.910675048828125,G,True
2020-01-04T12:00:00,214.50161743164062,G,False,214.50161743164062,G,True,59.2054443359375,G,False,59.2054443359375,G,True,58.45941162109375,G,False,58.45941162109375,G,True
2020-01-05T12:00:00,214.4380645751953,G,False,214.4380645751953,G,True,59.27056121826172,G,False,59.27056121826172,G,True,58.17476272583008,G,False,58.17476272583008,G,True
2020-01-06T12:00:00,214.4444580078125,G,False,214.4444580078125,G,True,60.295684814453125,G,False,60.295684814453125,G,True,59.1722526550293,G,False,59.1722526550293,G,True
2020-01-07T12:00:00,214.48980712890625,G,False,214.48980712890625,G,True,60.471370697021484,G,False,60.471370697021484,G,True,59.927467346191406,G,False,59.927467346191406,G,True
2020-01-08T12:00:00,214.496826171875,G,False,214.496826171875,G,True,59.83157730102539,G,False,59.83157730102539,G,True,58.68210983276367,G,False,58.68210983276367,G,True
2020-01-09T12:00:00,214.4054718017578,G,False,214.4054718017578,G,True,60.07780838012695,G,False,60.07780838012695,G,True,60.4304313659668,G,False,60.4304313659668,G,True
2020-01-10T12:00:00,214.40147399902344,G,False,214.40147399902344,G,True,61.4123649597168,G,False,61.4123649597168,G,True,64.86457061767578,G,False,64.86457061767578,G,True
2020-01-11T12:00:00,214.56039428710938,G,False,214.56039428710938,G,True,62.49470520019531,G,False,62.49470520019531,G,True,65.5229263305664,G,False,65.5229263305664,G,True
2020-01-12T12:00:00,214.5994110107422,G,False,214.5994110107422,G,True,59.43590545654297,G,False,59.43590545654297,G,True,58.88442611694336,G,False,58.88442611694336,G,True
2020-01-13T12:00:00,214.51434326171875,G,False,214.51434326171875,G,True,59.17353820800781,G,False,59.17353820800781,G,True,58.02594757080078,G,False,58.02594757080078,G,True
2020-01-14T12:00:00,214.39588928222656,G,False,214.39588928222656,G,True,61.251747131347656,G,False,61.251747131347656,G,True,63.083580017089844,G,False,63.083580017089844,G,True
2020-01-15T12:00:00,214.39907836914062,G,False,214.39907836914062,G,True,63.573970794677734,G,False,63.573970794677734,G,True,67.62286376953125,G,False,67.62286376953125,G,True
2020-01-16T12:00:00,214.44126892089844,G,False,214.44126892089844,G,True,64.36160278320312,G,False,64.36160278320312,G,True,68.56224822998047,G,False,68.56224822998047,G,True
2020-01-17T12:00:00,214.449951171875,G,False,214.449951171875,G,True,64.68421936035156,G,False,64.68421936035156,G,True,67.75080108642578,G,False,67.75080108642578,G,True
2020-01-18T12:00:00,214.4110107421875,G,False,214.4110107421875,G,True,65.31676483154297,G,False,65.31676483154297,G,True,67.97920227050781,G,False,67.97920227050781,G,True
2020-01-19T12:00:00,214.5437469482422,G,False,214.5437469482422,G,True,63.9506721496582,G,False,63.9506721496582,G,True,63.25089645385742,G,False,63.25089645385742,G,True
2020-01-20T12:00:00,214.5389862060547,G,False,214.5389862060547,G,True,61.30015563964844,G,False,61.30015563964844,G,True,58.724666595458984,G,False,58.724666595458984,G,True
2020-01-21T12:00:00,214.53421020507812,G,False,214.53421020507812,G,True,60.414119720458984,G,False,60.414119720458984,G,True,56.742347717285156,G,False,56.742347717285156,G,True
2020-01-22T12:00:00,214.54852294921875,G,False,214.54852294921875,G,True,58.80158996582031,G,False,58.80158996582031,G,True,55.19187927246094,G,False,55.19187927246094,G,True
2020-01-23T12:00:00,214.49928283691406,G,False,214.49928283691406,G,True,58.663307189941406,G,False,58.663307189941406,G,True,56.822052001953125,G,False,56.822052001953125,G,True
2020-01-24T12:00:00,214.49685668945312,G,False,214.49685668945312,G,True,57.728694915771484,G,False,57.728694915771484,G,True,55.687713623046875,G,False,55.687713623046875,G,True
2020-01-25T12:00:00,214.47300720214844,G,False,214.47300720214844,G,True,57.9567985534668,G,False,57.9567985534668,G,True,56.24799728393555,G,False,56.24799728393555,G,True
2020-01-26T12:00:00,214.46026611328125,G,False,214.46026611328125,G,True,58.28425598144531,G,False,58.28425598144531,G,True,58.55921936035156,G,False,58.55921936035156,G,True
2020-01-27T12:00:00,214.50161743164062,G,False,214.50161743164062,G,True,59.41123962402344,G,False,59.41123962402344,G,True,59.512779235839844,G,False,59.512779235839844,G,True
2020-01-28T12:00:00,214.4905242919922,G,False,214.4905242919922,G,True,59.340431213378906,G,False,59.340431213378906,G,True,59.321044921875,G,False,59.321044921875,G,True
2020-01-29T12:00:00,214.57159423828125,G,False,214.57159423828125,G,True,57.95926284790039,G,False,57.95926284790039,G,True,57.20332717895508,G,False,57.20332717895508,G,True
2020-01-30T12:00:00,214.55162048339844,G,False,214.55162048339844,G,True,57.22634506225586,G,False,57.22634506225586,G,True,55.7596321105957,G,False,55.7596321105957,G,True
